id,name,value,category
0,蒲熠星,18443,17
1,文韬Stefan,11662,17
2,贝拉kira,9162,1
3,嘉然今天吃什么,11714,1
4,某幻君,19980,3
5,花少北丶,21180,3
6,甜药Jamren,19770,5
7,飞天狙想要努力变胖,11322,5
8,七海Nana7mi,10680,1
9,阿梓从小就很可爱,18461,1
10,泠鸢yousa,12720,1
11,hanser,19020,1
12,阿萨Aza,24060,4
13,罗伊_Roi,8130,4
14,咩栗,8956,1
15,呜米,6180,1
16,棉花大哥哥,15893,8
17,大祥哥来了,21030,8
18,老番茄,10200,3
19,EdmundDZhang,32550,2
20,C酱です,30382,1
21,米诺高分少女,6186,9
22,露早GOGO,5616,1
23,虞莫MOMO,4893,9
24,KB呆又呆,12270,3
25,小可学妹,5411,1
26,向晚大魔王,3760,1
27,乃琳Queen,3916,1
28,瓶子君152,12000,10
29,泛式,13110,10
30,Asaki大人,17743,1
31,眞白花音_Official,14369,1
32,美月もも,9442,1
33,莞儿睡不醒,3216,9
34,古守血遊official,5072,1
35,椎名菜羽Official,4894,1
36,永雏塔菲,13374,1
37,HiiroVTuber,14040,1
38,神奇陆夫人,9360,2
39,花花Haya,6459,1
40,逍遥散人,40110,3
41,雫るる_Official,9420,1
42,张恩恩NNN,3750,4
43,早稻叽,10020,1
44,白神遥Haruka,7350,1
45,鈴宮鈴,3289,1
46,乙女音Official,3360,1
47,少年Pi,11010,2
48,雷雨Lyy,28560,8
49,内德维德,7893,1
50,东爱璃Lovely,5188,1
51,星汐Seki,4459,1
52,明前奶绿,7421,1
53,卡缇娅也不知道鸭,4047,1
54,河黎有片小叶子,3372,1
55,尤格Yog,2732,4
56,帅比笙歌超可爱OvO,4504,1
58,老实憨厚的笑笑,44280,13
57,老实憨厚的子衿,2751,13
59,夢乃栞Yumeno_Shiori,3540,1
60,宣小纸不怕火,2166,1
61,凉哈皮,23580,6
62,飙黑车的司机,9000,6
63,魔狼咪莉娅,3212,1
64,舒三妈Susam,2519,4
65,血狼破军,5328,15
66,龙哥哥今天又鸽了,6133,15
67,塔克Tako,6150,4
68,卡特亚,6450,8
69,LexBurner,4800,3
70,東雪蓮Official,4584,1
71,小霖QL,10470,8
72,小缘,3605,1
73,老骚豆腐,14610,6
74,OldBa1,10560,6
75,秋凛子Rinco,3900,1
76,LGDPYL116,3399,16
77,赵俊日,4487,16
78,星宮汐Official,3845,1
79,烤鱼子Official,2340,2
80,希月萌奈,3486,1
81,雪狐桑,6111,1
82,库库_sama,9708,5
83,老吊QuQ,2301,5
84,蕾尔娜Leona,4069,1
85,路希维德Wiede,3290,1
86,九重紫Official,2945,1
87,夏诺雅_shanoa,2934,1
88,黑桐谷歌,6930,2
89,物述有栖Official,3720,1
90,奈奈莉娅Channel,2505,1
91,花园Serena,2850,1
92,红晓音Akane,2700,1
93,Yommyko,2438,2
94,荔枝Kouun,4403,5
95,小柔Channel,5462,1
96,星瞳_Official,4577,1
97,黎歌Neeko,2992,1
98,扇宝,5038,1
99,神楽Mea_NHOTBOT,3960,1
100,月隐空夜,3840,10
101,魔法Zc目录,26520,15
102,LGD_Ame,9399,7
103,dodo_Official,2441,7
104,露米Lumi_Official,3808,1
105,桃几OvO,2536,1
106,梦音茶糯,4530,1
107,艾露露Ailurus,2527,1
108,星弥Hoshimi,2280,1
109,小鸟游杏子Official,2313,1
110,蕾蕾大表哥,2972,11
111,泪腺战士,10485,28
112,解说Mage,3767,16
113,两仪滚,12232,14
114,穆小泠Official,3022,1
115,小绝,2693,2
116,兰音Reine,3961,1
117,冰糖IO,2275,1
118,雪绘Yukie,3584,1
119,艾尔莎_Channel,3282,1
120,巴老师的小号,2807,1
121,妙妙子Official,2667,11
122,恋乃夜舞_propro,2896,1
123,虚拟小萨,2285,4
124,麻尤米mayumi,2175,9
125,钉宫妮妮Ninico,2243,1
126,成都AG超玩会丶久诚,3443,18
127,AG超玩会王者荣耀梦泪,15900,18
128,sh7adow,3780,25
129,祖娅纳惜,2640,1
130,折原露露,5153,1
131,啵啵小狗341,3995,9
132,鹿乃ちゃん,2040,1
133,木糖纯Official,2820,1
134,还有醒着的么,3817,1
135,猫芒ベル_Official,3390,1
136,小小约yoo,2219,1
137,杜松子_Gin,2138,1
138,花丸晴琉Official,2340,1
139,AIChannel中国绊爱,3600,1
140,泰蕾莎Channel,3330,1
141,冥冥meichan,4029,1
142,v猫诺v,2816,23
143,黑泽诺亚NOIR,2654,1
144,奈姬niki,2850,1
145,牛野露哞_usrm,2550,1
146,夏川玥玥Official,2111,1
147,依然小智,3085,10
148,狗狗狗雨,7950,11
149,-纯黑-,5100,2
150,你的影月月,6464,30
151,Akie秋绘,2831,1
152,许琪i,3648,5
153,冯提莫,6150,12
154,痒局长,3150,3
155,战术级子轩,4343,14
156,春去丶残秋,2429,6
157,尼奈nine_Official,3691,1
158,小铃久绘Official,2135,1
159,菠萝赛东°,6969,12
160,夏夏大魔王_Axx,3135,7
161,longdd黄翔,8026,7
162,守护茶茶,5910,11
163,自由魂儿儿儿,3296,22
164,骑虎者DC,2184,7
165,小深深儿,3036,12
166,烛灵儿Hikari,4358,24
173,火龙果说电影,3745,13
169,CSGO久菜合子,12150,19
167,鱼鹅来了,4263,26
168,CSGO--德云两鬼,2335,19
170,棋手战鹰,5118,29
171,飞社长,4080,27
172,清歌清歌-,2051,21
174,叶落莫言,3600,14
176,__小黄瓜__,6090,20
175,Kiki向前冲呀,2371,20
