source,target,weight,src,dst
0,1,0.71174,老实憨厚的子衿,老实憨厚的笑笑
2,3,0.68882,贝拉kira,嘉然今天吃什么
4,5,0.65985,薇Steria,内德维德
6,3,0.6451,向晚大魔王,嘉然今天吃什么
7,3,0.6284,乃琳Queen,嘉然今天吃什么
2,6,0.61022,贝拉kira,向晚大魔王
2,7,0.59843,贝拉kira,乃琳Queen
8,9,0.59684,烤鱼子Official,少年Pi
10,11,0.59052,呜米,咩栗
7,6,0.58879,乃琳Queen,向晚大魔王
12,13,0.58678,舒三妈Susam,阿萨Aza
14,13,0.5803,张恩恩NNN,阿萨Aza
15,13,0.57658,尤格Yog,阿萨Aza
16,17,0.57398,宣小纸不怕火,卡缇娅也不知道鸭
18,19,0.57194,小可学妹,阿梓从小就很可爱
20,21,0.56758,乙女音Official,古守血遊official
20,22,0.56758,乙女音Official,眞白花音_Official
7,2,0.56333,乃琳Queen,贝拉kira
6,7,0.56283,向晚大魔王,乃琳Queen
23,21,0.5563,鈴宮鈴,古守血遊official
6,2,0.5491,向晚大魔王,贝拉kira
24,25,0.54754,中国BOY超级大猩猩,某幻君
21,22,0.54617,古守血遊official,眞白花音_Official
23,22,0.54568,鈴宮鈴,眞白花音_Official
23,26,0.52231,鈴宮鈴,椎名菜羽Official
27,13,0.5215,罗伊_Roi,阿萨Aza
11,10,0.50352,咩栗,呜米
21,26,0.50304,古守血遊official,椎名菜羽Official
28,29,0.50094,文韬Stefan,蒲熠星
24,30,0.49621,中国BOY超级大猩猩,花少北丶
31,23,0.48251,魔狼咪莉娅,鈴宮鈴
32,22,0.48056,夢乃栞Yumeno_Shiori,眞白花音_Official
20,26,0.47854,乙女音Official,椎名菜羽Official
31,21,0.46978,魔狼咪莉娅,古守血遊official
32,21,0.46944,夢乃栞Yumeno_Shiori,古守血遊official
26,21,0.46902,椎名菜羽Official,古守血遊official
33,34,0.46707,Yommyko,C酱です
21,23,0.46499,古守血遊official,鈴宮鈴
35,19,0.46299,帅比笙歌超可爱OvO,阿梓从小就很可爱
23,31,0.46039,鈴宮鈴,魔狼咪莉娅
31,26,0.45897,魔狼咪莉娅,椎名菜羽Official
32,26,0.45714,夢乃栞Yumeno_Shiori,椎名菜羽Official
26,22,0.45175,椎名菜羽Official,眞白花音_Official
36,19,0.45113,七海Nana7mi,阿梓从小就很可爱
20,23,0.44932,乙女音Official,鈴宮鈴
31,22,0.44784,魔狼咪莉娅,眞白花音_Official
20,37,0.44658,乙女音Official,HiiroVTuber
20,38,0.44566,乙女音Official,雫るる_Official
39,28,0.44551,黄子弘凡-Lars,文韬Stefan
40,41,0.44272,红晓音Akane,东爱璃Lovely
42,43,0.44267,奈奈莉娅Channel,雪狐桑
32,23,0.44048,夢乃栞Yumeno_Shiori,鈴宮鈴
44,45,0.4403,泠鸢yousa,hanser
46,22,0.4385,九重紫Official,眞白花音_Official
47,48,0.43736,秋凛子Rinco,星汐Seki
12,15,0.43497,舒三妈Susam,尤格Yog
39,29,0.42475,黄子弘凡-Lars,蒲熠星
49,21,0.42415,绯赤艾莉欧_NHOTBOT,古守血遊official
49,37,0.42415,绯赤艾莉欧_NHOTBOT,HiiroVTuber
50,19,0.4233,勾檀Mayumi,阿梓从小就很可爱
35,48,0.42152,帅比笙歌超可爱OvO,星汐Seki
29,28,0.41074,蒲熠星,文韬Stefan
51,52,0.41058,蕾蕾大表哥,Asaki大人
26,23,0.40705,椎名菜羽Official,鈴宮鈴
53,22,0.40243,夏诺雅_shanoa,眞白花音_Official
54,37,0.40229,花园Serena,HiiroVTuber
55,56,0.39697,dodo_Official,露米Lumi_Official
17,16,0.39694,卡缇娅也不知道鸭,宣小纸不怕火
57,58,0.39682,LGDPYL116,赵俊日
59,60,0.39494,花花Haya,瓶子君152
20,32,0.39361,乙女音Official,夢乃栞Yumeno_Shiori
61,45,0.3922,小缘,hanser
62,63,0.39158,飞天狙想要努力变胖,甜药Jamren
64,65,0.39142,艾露露Ailurus,小柔Channel
66,19,0.39125,星弥Hoshimi,阿梓从小就很可爱
67,68,0.39105,温柔的安酱,凉哈皮
40,48,0.39061,红晓音Akane,星汐Seki
41,48,0.38751,东爱璃Lovely,星汐Seki
47,41,0.38681,秋凛子Rinco,东爱璃Lovely
46,69,0.38145,九重紫Official,美月もも
20,53,0.38128,乙女音Official,夏诺雅_shanoa
32,53,0.37579,夢乃栞Yumeno_Shiori,夏诺雅_shanoa
21,31,0.37468,古守血遊official,魔狼咪莉娅
66,36,0.37375,星弥Hoshimi,七海Nana7mi
48,41,0.37333,星汐Seki,东爱璃Lovely
70,37,0.37055,星宮汐Official,HiiroVTuber
71,25,0.37019,老番茄,某幻君
72,43,0.36966,黎歌Neeko,雪狐桑
73,74,0.369,杜松子_Gin,扇宝
75,37,0.3675,冰糖IO,HiiroVTuber
49,22,0.36715,绯赤艾莉欧_NHOTBOT,眞白花音_Official
8,34,0.3664,烤鱼子Official,C酱です
76,77,0.36523,蕾尔娜Leona,路希维德Wiede
78,5,0.36482,桃几OvO,内德维德
49,54,0.36135,绯赤艾莉欧_NHOTBOT,花园Serena
30,25,0.36105,花少北丶,某幻君
54,22,0.36013,花园Serena,眞白花音_Official
25,30,0.35975,某幻君,花少北丶
23,53,0.35842,鈴宮鈴,夏诺雅_shanoa
75,44,0.35569,冰糖IO,泠鸢yousa
20,54,0.35525,乙女音Official,花园Serena
4,19,0.35494,薇Steria,阿梓从小就很可爱
49,20,0.35362,绯赤艾莉欧_NHOTBOT,乙女音Official
20,69,0.35251,乙女音Official,美月もも
77,76,0.35233,路希维德Wiede,蕾尔娜Leona
17,74,0.3522,卡缇娅也不知道鸭,扇宝
79,80,0.34818,棉花大哥哥,大祥哥来了
81,82,0.34702,麻尤米mayumi,明前奶绿
49,26,0.34638,绯赤艾莉欧_NHOTBOT,椎名菜羽Official
50,36,0.34612,勾檀Mayumi,七海Nana7mi
20,31,0.34566,乙女音Official,魔狼咪莉娅
23,38,0.34507,鈴宮鈴,雫るる_Official
32,31,0.34444,夢乃栞Yumeno_Shiori,魔狼咪莉娅
32,20,0.34206,夢乃栞Yumeno_Shiori,乙女音Official
26,31,0.3413,椎名菜羽Official,魔狼咪莉娅
83,84,0.34083,花园花玲,宴宁ccccc
49,38,0.33913,绯赤艾莉欧_NHOTBOT,雫るる_Official
48,35,0.33886,星汐Seki,帅比笙歌超可爱OvO
75,85,0.33727,冰糖IO,早稻叽
49,23,0.3372,绯赤艾莉欧_NHOTBOT,鈴宮鈴
23,32,0.33687,鈴宮鈴,夢乃栞Yumeno_Shiori
46,38,0.33685,九重紫Official,雫るる_Official
20,46,0.33653,乙女音Official,九重紫Official
58,57,0.33494,赵俊日,LGDPYL116
20,49,0.33425,乙女音Official,绯赤艾莉欧_NHOTBOT
21,38,0.33409,古守血遊official,雫るる_Official
86,84,0.33405,多多poi丶,宴宁ccccc
23,46,0.33202,鈴宮鈴,九重紫Official
32,37,0.33175,夢乃栞Yumeno_Shiori,HiiroVTuber
78,19,0.33098,桃几OvO,阿梓从小就很可爱
75,19,0.32971,冰糖IO,阿梓从小就很可爱
53,21,0.32859,夏诺雅_shanoa,古守血遊official
24,71,0.32841,中国BOY超级大猩猩,老番茄
42,87,0.32837,奈奈莉娅Channel,希月萌奈
53,37,0.32753,夏诺雅_shanoa,HiiroVTuber
23,69,0.32504,鈴宮鈴,美月もも
75,45,0.32357,冰糖IO,hanser
8,88,0.32292,烤鱼子Official,神奇陆夫人
89,90,0.32227,巴老师的小号,雪绘Yukie
32,38,0.32222,夢乃栞Yumeno_Shiori,雫るる_Official
63,62,0.32147,甜药Jamren,飞天狙想要努力变胖
18,36,0.3198,小可学妹,七海Nana7mi
91,11,0.31927,白神遥Haruka,咩栗
75,36,0.31838,冰糖IO,七海Nana7mi
53,69,0.3183,夏诺雅_shanoa,美月もも
75,92,0.31696,冰糖IO,永雏塔菲
15,12,0.31687,尤格Yog,舒三妈Susam
53,26,0.31619,夏诺雅_shanoa,椎名菜羽Official
21,53,0.31608,古守血遊official,夏诺雅_shanoa
21,20,0.31532,古守血遊official,乙女音Official
46,21,0.3136,九重紫Official,古守血遊official
32,54,0.3119,夢乃栞Yumeno_Shiori,花园Serena
93,94,0.31184,龙哥哥今天又鸽了,血狼破军
3,6,0.31153,嘉然今天吃什么,向晚大魔王
53,23,0.31145,夏诺雅_shanoa,鈴宮鈴
95,96,0.31105,恬豆发芽了,星瞳_Official
40,91,0.311,红晓音Akane,白神遥Haruka
14,27,0.31085,张恩恩NNN,罗伊_Roi
97,98,0.31075,AG超玩会王者荣耀一诺,AG超玩会王者荣耀梦泪
99,100,0.31039,月隐空夜,魔法Zc目录
101,37,0.31036,物述有栖Official,HiiroVTuber
102,13,0.3095,杜铂雷Dobre,阿萨Aza
87,43,0.3095,希月萌奈,雪狐桑
54,53,0.30915,花园Serena,夏诺雅_shanoa
48,19,0.30878,星汐Seki,阿梓从小就很可爱
70,38,0.30827,星宮汐Official,雫るる_Official
21,69,0.30822,古守血遊official,美月もも
4,35,0.30796,薇Steria,帅比笙歌超可爱OvO
21,37,0.3072,古守血遊official,HiiroVTuber
83,103,0.3071,花园花玲,shourei小N
64,35,0.30693,艾露露Ailurus,帅比笙歌超可爱OvO
49,32,0.30628,绯赤艾莉欧_NHOTBOT,夢乃栞Yumeno_Shiori
53,38,0.30512,夏诺雅_shanoa,雫るる_Official
71,30,0.30444,老番茄,花少北丶
20,85,0.30411,乙女音Official,早稻叽
94,93,0.30307,血狼破军,龙哥哥今天又鸽了
103,84,0.30281,shourei小N,宴宁ccccc
54,38,0.30229,花园Serena,雫るる_Official
104,25,0.30137,LexBurner,某幻君
23,37,0.30106,鈴宮鈴,HiiroVTuber
57,105,0.30069,LGDPYL116,解说Mage
21,32,0.3001,古守血遊official,夢乃栞Yumeno_Shiori
69,22,0.29967,美月もも,眞白花音_Official
5,19,0.29954,内德维德,阿梓从小就很可爱
73,17,0.29937,杜松子_Gin,卡缇娅也不知道鸭
3,2,0.29933,嘉然今天吃什么,贝拉kira
23,20,0.29863,鈴宮鈴,乙女音Official
104,30,0.29741,LexBurner,花少北丶
20,101,0.29726,乙女音Official,物述有栖Official
64,5,0.2967,艾露露Ailurus,内德维德
64,19,0.29637,艾露露Ailurus,阿梓从小就很可爱
49,85,0.29614,绯赤艾莉欧_NHOTBOT,早稻叽
31,69,0.29612,魔狼咪莉娅,美月もも
41,91,0.29586,东爱璃Lovely,白神遥Haruka
46,23,0.29576,九重紫Official,鈴宮鈴
33,9,0.29548,Yommyko,少年Pi
86,45,0.29487,多多poi丶,hanser
35,5,0.2947,帅比笙歌超可爱OvO,内德维德
31,46,0.29453,魔狼咪莉娅,九重紫Official
21,46,0.29427,古守血遊official,九重紫Official
70,19,0.29392,星宮汐Official,阿梓从小就很可爱
86,103,0.2938,多多poi丶,shourei小N
84,103,0.29342,宴宁ccccc,shourei小N
47,35,0.29341,秋凛子Rinco,帅比笙歌超可爱OvO
32,69,0.29286,夢乃栞Yumeno_Shiori,美月もも
49,106,0.29275,绯赤艾莉欧_NHOTBOT,神楽Mea_NHOTBOT
107,51,0.29202,妙妙子Official,蕾蕾大表哥
83,45,0.29172,花园花玲,hanser
3,7,0.29008,嘉然今天吃什么,乃琳Queen
27,14,0.29003,罗伊_Roi,张恩恩NNN
35,18,0.28944,帅比笙歌超可爱OvO,小可学妹
49,53,0.28889,绯赤艾莉欧_NHOTBOT,夏诺雅_shanoa
49,101,0.28792,绯赤艾莉欧_NHOTBOT,物述有栖Official
16,74,0.28735,宣小纸不怕火,扇宝
35,41,0.28661,帅比笙歌超可爱OvO,东爱璃Lovely
46,37,0.28656,九重紫Official,HiiroVTuber
54,21,0.28627,花园Serena,古守血遊official
75,91,0.28578,冰糖IO,白神遥Haruka
47,40,0.28498,秋凛子Rinco,红晓音Akane
54,85,0.28399,花园Serena,早稻叽
26,53,0.28359,椎名菜羽Official,夏诺雅_shanoa
70,22,0.28358,星宮汐Official,眞白花音_Official
46,26,0.28305,九重紫Official,椎名菜羽Official
75,11,0.28295,冰糖IO,咩栗
72,87,0.28288,黎歌Neeko,希月萌奈
83,86,0.28107,花园花玲,多多poi丶
108,11,0.27986,穆小泠Official,咩栗
105,58,0.27937,解说Mage,赵俊日
