,id,name,value,category,mid,roomid,uname,sign,title,area_p,area,tags
0,0,老实憨厚的子衿,2078,26,271815944,23718393,老实憨厚的子衿,直播时间：调整为每天12点开播，一周会找一天休息！,,网游,永劫无间,
1,2,贝拉kira,8651,3,672353429,22632424,贝拉kira,元气满满的A-SOUL舞担参上~目标TOP IDOL，一起加油！,虚拟偶像团体A-SOUL 所属艺人,虚拟主播,虚拟主播,"舞蹈,二次元,虚拟偶像"
2,4,薇Steria,2299,7,1112031857,22924075,薇Steria,喜欢观察人类的森林书记官，梦想成为文豪偶像！组号@薇薇的植物园,bilibili直播高能主播,虚拟主播,虚拟主播,薇Steria
3,6,向晚大魔王,9614,3,672346917,22625025,向晚大魔王,关注...也不是不可以啦！,虚拟偶像团体A-SOUL 所属艺人,虚拟主播,虚拟主播,真·首播
4,7,乃琳Queen,9190,3,672342685,22625027,乃琳Queen,喜欢听你说，开心和不开心的，都告诉我吧~,虚拟偶像团体A-SOUL 所属艺人,虚拟主播,虚拟主播,"虚拟偶像,二次元"
5,8,烤鱼子Official,2530,8,592507317,22259479,烤鱼子Official,,,单机游戏,其他单机,"烤鱼子,摸鱼"
6,10,呜米,10064,1,617459493,22384516,呜米,光能雪狼呜米喵~想要成为大家的爱↗↘抖露，努力进步，在舞台上kirakira~ 微博：呜米嗷呜,bilibili 知名UP主、直播高能主播,虚拟主播,虚拟主播,"呜米,虚拟主播,kira kira,晚九点直播"
7,12,舒三妈Susam,2345,4,6853766,3032130,舒三妈Susam,虚拟艺人团体VirtuaReal成员丨随心而动的人 随性而动的人  一般通过BOT丨商务合作联系bd@vrp.live,,虚拟主播,虚拟主播,"游戏,虚拟主播,VUP,VirtuaReal,音乐"
8,14,张恩恩NNN,2995,4,36416972,860677,张恩恩NNN,热衷沙雕挑战，探店逛展的绝不社死星人！商务合作请直接私信~,Vlog领域优质UP主,娱乐,视频聊天,"张恩恩,唱见,沙雕,温柔,颜值"
9,15,尤格Yog,3219,4,690608709,23550749,尤格Yog,虚拟艺人团体VirtuaReal成员，普通的高中打工宅男！商务合作联系bd@vrp.live,bilibili直播高能主播,虚拟主播,虚拟主播,
10,16,宣小纸不怕火,2798,14,3461582034045213,26276187,宣小纸不怕火,纸有一点急，一点！,,虚拟主播,虚拟主播,
11,18,小可学妹,5838,1,14387072,6374209,小可学妹,虚拟艺人团体VirtuaReal成员，古灵精怪小吃货小可学妹。商务合作：bd@vrp.live,bilibili 知名音乐UP主、直播高能主播,虚拟主播,虚拟主播,"萌妹,唱见,开口跪,沙雕,虚拟主播,美女,V圈内卷第一人,吃货,笑声嘎嘎响,游戏打的狗屁不是,纯素颜主播,亲子,母爱,好大儿,我是妈妈啊孩子,智慧型主播"
12,20,乙女音Official,2190,2,406805563,21320551,乙女音Official,东晋传说乙女音！欢迎打钱！谢谢打钱！想要5000兆円！请叫我oto酱！烤肉审核：967458726（招校对）,bilibili 直播高能主播,虚拟主播,虚拟主播,"ちゅこらら,乙女おと,VTUBER,虚拟主播,日语,虚拟UP主"
13,23,鈴宮鈴,3295,2,480432362,21685677,鈴宮鈴,ちゅこらら(Chucolala) LOL天使　妈妈paryi 　推特@rin_suzumiyaa,bilibili 直播高能主播,虚拟主播,虚拟主播,
14,24,中国BOY超级大猩猩,5280,6,562197,65515,中国BOY超级大猩猩,新浪 @中国BOY-Hans,bilibili 2021百大UP主、知名UP主,单机游戏,主机游戏,中国BOY
15,21,古守血遊official,3942,2,2299184,8725120,古守血遊official,Chucolala所属古守ちゆ  妈妈：paryi,bilibili 直播高能主播,虚拟主播,虚拟主播,
16,27,罗伊_Roi,3210,4,480745939,21696953,罗伊_Roi,虚拟艺人团体VirtuaReal成员，总是被钻石和星光围绕着的异世界的王子，商务合作bd@vrp.live,bilibili 直播高能主播,虚拟主播,虚拟主播,"虚拟主播,VirtuaReal,VTUBER,罗伊Roi,NIJISANJI"
17,11,咩栗,11803,1,745493,8792912,咩栗,电击小羊，羊名立万✨    ❖微博:电击咩阿栗❖ ,bilibili 知名UP主、直播高能主播,电台,聊天电台,咩栗
18,28,文韬Stefan,14896,15,412504829,21996307,文韬Stefan,,2021年度巅峰主播、名侦探学院成员文韬,单机游戏,主机游戏,
19,31,魔狼咪莉娅,3144,2,1838190318,24643640,魔狼咪莉娅,梦想是成为出色的魔王！个人vtuber　https://twitter.com/marou_miriya,bilibili 知名虚拟UP主,虚拟主播,虚拟主播,
20,32,夢乃栞Yumeno_Shiori,2520,2,372984197,14052636,夢乃栞Yumeno_Shiori,おは堕天使*ଘ(੭*ˊᵕˋ)੭ ,bilibili 直播高能主播,虚拟主播,虚拟主播,"vtuber,虚拟主播,shiori,P家,虚拟UP主"
21,26,椎名菜羽Official,4228,2,623441612,22347054,椎名菜羽Official,我是虚拟吸血姬 椎名菜羽 喜欢弹琴和唱歌~ ·#椎名菜羽# #菜羽art# #菜羽schedule#,bilibili 直播高能主播,虚拟主播,虚拟主播,
22,33,Yommyko,2809,8,14272337,21263282,Yommyko,小由！喜欢打游戏，偏爱FPS的憨憨少女，谢谢你的关注，B站直播！日常在微博Yommyko 直播通知群:720633962,bilibili 知名游戏UP主、直播高能主播,单机游戏,主机游戏,"可爱,搞笑,皮,彩六UP,萌妹,APEX,主机游戏"
23,35,帅比笙歌超可爱OvO,4944,1,15641218,573893,帅比笙歌超可爱OvO,psplive所属 国风温柔美少女歌势 ,bilibili 知名虚拟UP主、直播高能主播,虚拟主播,虚拟主播,
24,36,七海Nana7mi,8880,3,434334701,21452505,七海Nana7mi,虚拟艺人团体VirtuaReal成员 七海Nana7mi 商务合作：bd@vrp.live ,虚拟UP主、bilibili直播高能主播,虚拟主播,虚拟主播,"七海,海子姐,个人演唱会"
25,39,黄子弘凡-Lars,4671,15,544142239,23810121,黄子弘凡-Lars,青年歌手 /演员 黄子弘凡  合作联系：hzhfnaobujianla@163.com,歌手、演员黄子弘凡,单机游戏,主机游戏,
26,40,红晓音Akane,3090,1,899804,411318,红晓音Akane,psplive所属。喜欢唱歌的魔法少女，被迫早起的悲惨社畜，与你相遇就是最美的魔法！妈妈是@皐月深鈴。,bilibili 直播高能主播,虚拟主播,虚拟主播,"虚拟UP主,虚拟主播,红晓音,魔法少女,VTuber"
27,42,奈奈莉娅Channel,2756,1,489146840,22301377,奈奈莉娅Channel,个人势 以偶像为目标正在努力着！ ⭐ 这世界上没有偶然，有的只是必然，我们的相遇亦是如此,bilibili 知名虚拟UP主、直播高能主播,虚拟主播,虚拟主播,"虚拟主播,吸血鬼,奈奈莉娅,VTB,奈奈莉娅,VUP,可爱"
28,44,泠鸢yousa,3300,2,282994,47377,泠鸢yousa,虚拟艺人团体VirtuaReal Star成员，每周六20:30 b站直播。商洽联络人：lujingyuan@bilibili.com,bilibili 2021百大UP主、直播高能主播,虚拟主播,虚拟主播,虚拟主播
29,46,九重紫Official,3699,2,225347042,9162799,九重紫Official,歪果仁│个人势│亚人动漫小巫女│做视频&直播│啊加嘛似嘛似＝谢谢│努力学习中文中│给粉丝水群用1015617093,bilibili 直播高能主播,虚拟主播,虚拟主播,"九重紫,虚拟主播,ここのゆ,聊天,游戏,唱歌"
30,47,秋凛子Rinco,2730,1,479633069,21677969,秋凛子Rinco,psplive所属。神社网这么破，活该没人来！【6G信号的神社：908926777】,bilibili 直播高能主播,虚拟主播,虚拟主播,
31,49,绯赤艾莉欧_NHOTBOT,2070,2,407106379,21396545,绯赤艾莉欧_NHOTBOT,幻想骑士团团长绯赤erio chucolala所属   联动及工商请投至hisekieriooffice@gmail.com,bilibili 知名虚拟UP主、直播高能主播,虚拟主播,虚拟主播,"绯赤艾莉欧,艾莉欧的骑士团"
32,50,勾檀Mayumi,2034,7,690608693,22778610,勾檀Mayumi,虚拟艺人团体VirtuaReal成员，一起逃向自由吧。商务合作：bd@vrp.live,bilibili 直播高能主播,虚拟主播,虚拟主播,"virtuareal,游戏,唱歌,虚拟主播,VUP"
33,29,蒲熠星,18167,15,226102317,21281833,蒲熠星,工作联系eazinone@163.com,艺人，游戏主播蒲熠星,网游,永劫无间,
34,51,蕾蕾大表哥,2835,19,867152,81414,蕾蕾大表哥,好软好甜的蕾蕾大表哥啊！(*´﹃｀*) 微博@Tsubomixy,bilibili 直播高能主播,网游,英雄联盟,英雄联盟
35,53,夏诺雅_shanoa,3792,2,1612112,1321846,夏诺雅_shanoa,Neet猫猫 Vtuber,bilibili 直播高能主播,电台,聊天电台,
36,54,花园Serena,3060,2,380829248,14327465,花园Serena,主人饲养的猫猫，花園セレナ是也！,bilibili 知名虚拟UP主、直播高能主播,虚拟主播,虚拟主播,"花園セレナ,Vtuber,花园Serena"
37,55,dodo_Official,3038,17,1855519979,23945626,dodo_Official,每天能打16小时Dota2的分女又！,DOTA2虚拟主播dodo,网游,DOTA2,
38,17,卡缇娅也不知道鸭,4046,1,1011797664,24697117,卡缇娅也不知道鸭,人哪有不疯的，跑起来就有疯了！,星律动Nebula Beat旗下艺人,电台,聊天电台,
39,57,LGDPYL116,3329,16,651731017,22439496,LGDPYL116,英雄联盟官方解说，商务合作vx：LGDyuki,LGD PYL官方账号、bilibili 直播高能主播,网游,英雄联盟,"电竞贵妇,护国神牛,LGD老队长,前职业选手,官方解说"
40,59,花花Haya,7543,5,269415357,7688602,花花Haya,普罗维登企划所属~来自雪国的精灵酒馆老板花花Haya! 商务合作联系haya@pdplive.net,bilibili 知名虚拟UP主、直播高能主播,虚拟主播,虚拟主播,"唱见,虚拟主播,虚拟up主"
41,61,小缘,5561,9,5055,263605,小缘,新浪微博：@小缘喵     网易云:小缘喵    合作请联系邮箱：2117516485@qq.com,bilibili 2018百大UP主、 知名唱见、直播高能主播,娱乐,萌宅领域,"歌手,唱见,小缘,196"
42,95,恬豆发芽了,3276,14,1660392980,23771189,恬豆发芽了,咦？这里有颗豆豆好像快要发芽了。,虚拟偶像团体四禧丸子 成员,虚拟主播,虚拟主播,
43,62,飞天狙想要努力变胖,11234,13,51628309,23197314,飞天狙想要努力变胖,一个为游戏而生的玩家 APEX现役职业选手  合作vx：Super-cory（备注来意）,bilibili 知名游戏UP主、直播高能主播,网游,APEX英雄,
44,64,艾露露Ailurus,3030,1,1501380958,22746343,艾露露Ailurus,虚研社二期生，凹凸世界第四季OP演唱者，希望我们都能善良的爱着彼此。我是一个正在追逐梦想的小熊猫，我想用歌声表达我所看见的世界。,bilibili 直播高能主播,虚拟主播,虚拟主播,
45,66,星弥Hoshimi,2400,7,477342747,21672022,星弥Hoshimi,认真去做每一件事！⭐你的心意一定会得到回应 | 虚拟艺人团体VirtuaReal成员 ｜商务合作：bd@vrp.live,bilibili知名虚拟UP主、直播高能主播,虚拟主播,虚拟主播,"星弥Hoshimi,虚拟主播,原神,NIJISANJI,彩虹社,Vtuber,Vup,VirtuaReal"
46,67,温柔的安酱,2189,21,14313134,968427,温柔的安酱,开心最重要 这次真的不改了哦：）,bilibili 知名UP主、直播高能主播,手游,原神,"人皇,第五人格"
47,41,东爱璃Lovely,5925,1,3821157,21692711,东爱璃Lovely,psplive所属 主打的就是正能量 擅长但又不是那么擅长唱歌 杂谈 整活的小狍子是也????商业合作：info@psplive.com,bilibili 知名虚拟UP主、直播高能主播,虚拟主播,虚拟主播,
48,48,星汐Seki,6150,1,51030552,1603600,星汐Seki,PSPlive所属的星星星汐seki，也可以叫我小七~是17岁美少女！开心就完事了嗷！,bilibili 直播高能主播,虚拟主播,虚拟主播,"虚拟主播,vup,PSP"
49,70,星宮汐Official,3484,2,402417817,22047448,星宮汐Official,https://twitter.com/Hosimiya_Sio,bilibili 知名虚拟UP主、直播高能主播,虚拟主播,虚拟主播,"星宮汐,星宮明"
50,71,老番茄,10800,6,546195,21852,老番茄,新浪微博：_老番茄_,bilibili 2021百大UP主、知名UP主,手游,原神,老番茄
51,72,黎歌Neeko,3019,1,671538942,22571722,黎歌Neeko,虚研社3.5期生，一只永远不会咕的鸽子，嘎～希望你喜欢我久一点...很喜欢一句话：可以不喜欢，但请不要否定别人的努力 ,bilibili 直播高能主播,虚拟主播,虚拟主播,"黎歌,鸽歌,Vup,唱歌"
52,73,杜松子_Gin,2542,1,471460273,22195814,杜松子_Gin,是下岗偶像。最强虚拟声优（自称。 希望有一天能重返舞台    配音作品：《明日方舟》艾雅法拉、桃金娘  录播@金金组新宣传科,bilibili 知名虚拟UP主、直播高能主播,虚拟主播,虚拟主播,"Vtuber,Vup,虚拟主播,虚拟up主,唱歌,整活,搞笑艺人,下岗偶像,知名尿裤子主播,vtb,专业配音演员,配音大师,最强虚拟声优,声优,谦虚的艺术家,牛牛,不知名女明星,妈妈活"
53,75,冰糖IO,2117,1,198297,876396,冰糖IO,既是UP主也是虚拟主播（个人），同时还是3D动画师！ 制作：动画、配音、游戏实况、音乐、虚拟现实。 商洽联络人vx：15000251667,bilibili 知名UP主、直播高能主播,虚拟主播,虚拟主播,"冰糖IO,国V,虚拟主播,VUP,VTuber,个人势,清楚系"
54,76,蕾尔娜Leona,4096,1,473244363,22992234,蕾尔娜Leona,【光年神话·十二宫企划所属】周二休息晚20：00播，商务私信,bilibili 知名虚拟UP主、直播高能主播,虚拟主播,虚拟主播,"虚拟主播,vup,up主,原神"
55,78,桃几OvO,2689,7,1104048496,22642754,桃几OvO,中日英粤歌势韩语正在学习。无社团有公会 账号本人独自运营。联动投稿&商业合作请私信。,2021年度巅峰主播、bilibili 直播高能主播,电台,唱见电台,
56,30,花少北丶,24930,6,2206456,81711,花少北丶,精神分裂症+间歇性失忆症 微博：花少北   工作邮箱:986643586@qq.com,bilibili 2021百大UP主、2021直播年度人气奖、2021年度巅峰主播、知名UP主,单机游戏,主机游戏,
57,25,某幻君,25020,6,1577804,271744,某幻君,有事私信新娘浪微博@某幻今天拖更了没,bilibili 2021百大UP主、 知名UP主,单机游戏,主机游戏,单机游戏
58,77,路希维德Wiede,4246,1,2006452883,24778741,路希维德Wiede,【光年神话·十二宫企划所属】路希维德wiede 直播时间为：每天中午12点，2.4.6晚上加播8点场！星期三哦呀斯密！,bilibili 知名虚拟UP主、直播高能主播,虚拟主播,虚拟主播,"vup,摩羯座,光年神话,虚拟偶像,十二星座,大小姐"
59,79,棉花大哥哥,5187,10,1871001,34348,棉花大哥哥,商业合作qq237216991 bb空间代言人，专业的非洲抽奖主播。。天选中奖把支付宝填在地址上周末不发奖,2021年度巅峰主播、bilibili 知名游戏UP主、直播高能主播,手游,原神,原神
60,81,麻尤米mayumi,2167,31,1265605287,25061813,麻尤米mayumi,个人势 主杂谈 二四六七直播 希望米尤麻们天天开心^_^,,虚拟主播,虚拟主播,"麻尤米mayumi,麻尤米"
61,83,花园花玲,5070,9,7966,597450,花园花玲,配音演员的花玲，直播是兴趣，随缘播。,bilibili 知名UP主,虚拟主播,虚拟主播,"CSGO,绝地求生：大逃杀,声优"
62,58,赵俊日,3944,16,66556492,22174141,赵俊日,英雄联盟官方解说，商务邮箱联系 wubin01@bilibili.com,游戏解说赵俊日、bilibili直播高能主播,网游,英雄联盟,
63,86,多多poi丶,6535,9,11253297,392523,多多poi丶,日常会分享在微博～@多多poi丶 / 商务合作请联系邮箱：DDpoi@qq.com ,bilibili 2021百大UP主、直播高能主播、配音演员、声优,虚拟主播,虚拟主播,"声优,Vup,虚拟主播,唱歌,英雄联盟"
64,89,巴老师的小号,2532,1,1588646945,25206807,巴老师的小号,去摘遥不可及的星⭐ （真的是本人大号呜呜呜）,,虚拟主播,虚拟主播,
65,63,甜药Jamren,13684,13,106017013,13308358,甜药Jamren,前ALGS职业选手、国内杯赛冠军、现职业队教练、赛季末天榜猎杀21名，专业教学up，专业Apex赛事解说。合作vx：Super-cory,bilibili 知名游戏UP主、直播高能主播,网游,APEX英雄,
66,91,白神遥Haruka,7110,1,477332594,21652717,白神遥Haruka,psplive所属，爱睡觉和打游戏的一只海豹JK(:3っ)∋想成为大家的光，妈妈是@Bison仓鼠,bilibili 知名UP主、直播高能主播,虚拟主播,虚拟主播,
67,93,龙哥哥今天又鸽了,7334,20,37804608,4283606,龙哥哥今天又鸽了,定一个新的目标。QQ水友群748140736，直播通知群：436664948,bilibili直播高能主播,手游,明日方舟,
68,3,嘉然今天吃什么,19908,3,672328094,22637261,嘉然今天吃什么,这里是嘉然！别看我小小的，我超能吃还超可爱的哦~,2021年度虚拟UP主、bilibili 2021百大UP主、虚拟偶像团体A-SOUL 所属艺人,虚拟主播,虚拟主播,
69,97,AG超玩会王者荣耀一诺,8087,11,472755538,23919301,AG超玩会王者荣耀一诺,成都AG超玩会发育路选手；关注三连享受更多快乐！,AG超玩会一诺，KPL职业选手,手游,王者荣耀,
70,99,月隐空夜,4140,5,49631892,21292831,月隐空夜,我永远喜欢言峰绮礼！普罗维登oi成员，每晚19点直播！商务QQ：271374252，直播通知群1014701277，同人配音/翻唱可直接私信,bilibili 知名游戏UP主、直播高能主播,手游,明日方舟,
71,101,物述有栖Official,3570,2,434565011,21449083,物述有栖Official,我还在学中文，但也想来bilibili和大家一起开愉快的茶会！请多关照啦！,日本虚拟UP主、bilibili 直播高能主播,虚拟主播,虚拟主播,
72,102,杜铂雷Dobre,2084,4,1294678093,25166222,杜铂雷Dobre,个人势Vup  | 杂谈游戏势 | 寄宿着杜宾犬灵魂的杜教官 | 直播通知群：592541226,bilibili直播高能主播,虚拟主播,虚拟主播,"Vup,游戏,杂谈,虚拟主播,Switch,Steam,Vtuber"
73,87,希月萌奈,5370,1,591892279,22889484,希月萌奈,✨治愈系虚拟鲸鱼✨    联动/商务合作请联系：@鼠标Office,bilibili 知名虚拟UP主、直播高能主播,虚拟主播,虚拟主播,"Vtuber,Vup,虚拟主播,可爱,杂谈,智商极高,清楚,治愈"
74,94,血狼破军,7546,20,267766441,8432038,血狼破军,请不要在无关的地方刷我，互相尊重，互相理解闲聊群：225258146,bilibili 知名游戏UP主、直播高能主播,手游,明日方舟,"明日方舟,娱乐主播,危机合约,测评攻略,集成战略"
75,103,shourei小N,7721,9,249118,363889,shourei小N,努力早日退休的配音演员 蒋丽（私信不看啦）,bilibili 知名UP主,虚拟主播,虚拟主播,"声优,配音演员"
76,104,LexBurner,6570,6,777536,11365,LexBurner,新浪微博：http://weibo.com/lexburner ,2021年度巅峰主播、bilibili 知名UP主,单机游戏,其他单机,
77,69,美月もも,8723,2,2073012767,23698286,美月もも,日本社畜系VTuber｜个人势｜もゆ,bilibili 知名虚拟UP主,虚拟主播,虚拟主播,
78,5,内德维德,7438,7,90873,5424,内德维德, ,bilibili 音乐人,虚拟主播,虚拟主播,音乐
79,84,宴宁ccccc,7968,9,14897804,7953876,宴宁ccccc,已经不需要魔法了！（偶尔冲浪 不看消息） ,bilibili 知名UP主,虚拟主播,虚拟主播,
80,107,妙妙子Official,2356,19,674539396,22495291,妙妙子Official,打游戏的,bilibili 直播高能主播,网游,英雄联盟,"英雄联盟,嘴甜主播"
81,108,穆小泠Official,2830,1,43272050,21646457,穆小泠Official,❤️有点沙雕的个人势虚拟UP主 ❤️可萌可御多声线吸血鬼 ❤️淘宝：小泠的甜品阁 ❤️商务合作请邮件MXL_43272050@163.com,bilibili 知名虚拟UP主、直播高能主播,虚拟主播,虚拟主播,"虚拟UP主,唱见,多声线转换,虚拟主播,吸血鬼"
82,105,解说Mage,3873,16,472497932,22508985,解说Mage,英雄联盟官方解说，商务邮箱联系：wubin01@bilibili.com,哔哩哔哩电竞签约艺人，英雄联盟官方解说、直播高能主播,网游,英雄联盟,
83,109,花丸晴琉Official,2340,2,441381282,21547895,花丸晴琉Official,我是虚拟主播花丸晴琉！我最喜欢唱歌了！和我做朋友吧！,bilibili 知名UP主、直播高能主播,虚拟主播,虚拟主播,花丸晴琉
84,110,虚拟小萨,3833,4,6415072,43241,虚拟小萨,萨，三尺薄命，一介书生。  商务合作+Q2448662934（不是本人） 玹云社班主、＜VECTOR＞,bilibili 知名虚拟UP主,虚拟主播,虚拟主播,"vup,杂谈,虚拟主播,虚拟UP主"
85,111,木糖纯Official,2040,5,54191665,8643223,木糖纯Official,永不毕业的个人势，养老配音员。自闭系。配音、翻唱。商务合作Q：3164254440,bilibili 知名虚拟UP主、直播高能主播,虚拟主播,虚拟主播,
86,112,有棵里里,2016,1,12939237,264788,有棵里里,雪域Provealms所属小妹魔！ 粉丝群：660702422 合作请联系provealms@foxmail.com,bilibili直播高能主播,虚拟主播,虚拟主播,"vup,虚拟主播,VTuber,新人,唱歌"
87,43,雪狐桑,6143,1,477792,24393,雪狐桑,一期一会,bilibili 知名虚拟UP主、直播高能主播,虚拟主播,虚拟主播,
88,113,夏川玥玥Official,2375,1,1802011210,22758221,夏川玥玥Official,个人势小玉兔玥玥，可能有点傻乎乎的，请多多指教啦~商务合作请私信联系,bilibili 知名UP主、直播高能主播,虚拟主播,虚拟主播,
89,114,祖娅纳惜,2670,30,3046429,938957,祖娅纳惜,VirtuaReal Star成员。商务/非商合作请联系邮箱trinety@foxmail.com  QQ24982271,bilibili 2020百大UP主、知名UP主、直播高能主播,虚拟主播,虚拟主播,"祖娅纳惜,虚拟主播,唱见,蛀牙,VirtuaReal,VirtuaReal,囍"
90,115,艾尔莎_Channel,3460,5,1521415,81004,艾尔莎_Channel,Redcircle与虚研社所属Vliver 冒险家艾尔莎！一起来狩猎薯条吧！,bilibili 知名虚拟UP主、直播高能主播,虚拟主播,虚拟主播,"虚拟主播,VUP,Vliver,虚拟up"
91,116,小绝,3041,28,275981,5367,小绝,专业FPS玩家 前守望先锋 绝地求生职业选手 微博：@小绝不小了 商务合作VX：Mercury157,bilibili 知名游戏UP主、直播高能主播,网游,APEX英雄,"FPS,小绝,RTS"
92,118,草莓猫Taffy,4162,32,1210816252,26421197,草莓猫Taffy,我是草莓猫！,,虚拟主播,3D虚拟主播,杂谈
93,119,飙黑车的司机,7310,12,14781725,3066386,飙黑车的司机,商业合作请联系 QQ:372095731或者VX:a15221686053，中了红包私信房管鹿鹿嗷嗷嗷，实物填写地址,bilibili 直播高能主播,手游,第五人格,"声控,恐怖单机,尬聊,第五人格,屠皇,搞笑"
94,120,猫芒ベル_Official,2520,2,487550002,21811136,猫芒ベル_Official, ViViD所属的Vtuber。见习魔女。‍#猫芒照相馆#,bilibili 直播高能主播,虚拟主播,虚拟主播,"#猫芒bell#,#猫芒照相馆#,可爱,萌宠"
95,121,恋乃夜舞_propro,3413,2,1900434152,23105590,恋乃夜舞_propro,来自日本的虚拟主播、ProProProduction二期生的恋乃夜舞（KOINOYA MAI）,,虚拟主播,虚拟主播,
