uid,room_id,name,guard_num,gid
591892279,22889484,希月萌奈,933,76
1265605287,25061813,麻尤米mayumi,603,76
479633069,21677969,秋凛子Rinco,541,76
484322035,21712406,AIChannel中国绊爱,477,76
9066351,21737386,塔克Tako,476,76
14633696,8781662,由乃の小仓鼠,443,76
9983449,8707460,花臼usu,428,76
2051617240,23141761,棋手战鹰,411,76
1461176910,23965761,量子少年-祥太,387,76
258959750,7497026,Eli田瀚博,369,76
34579852,1319379,徐珺大哥,368,76
544142239,23810121,黄子弘凡-Lars,368,76
2127636640,23159873,仙女味儿的青青,362,76
441952268,22014628,五月织姬ctsu,341,76
34690710,5433500,银狼爱狂三,338,76
1282271864,23459804,自由魂儿儿儿,329,76
518817,5169315,早凉,321,76
1124181134,23710947,樱桃老師,319,76
1943211712,22844133,好喝的白开水丶,311,76
1641367203,24745250,新生代持剑少年,310,76
3461582034045213,26276187,宣小纸不怕火,309,76
1811071010,25512485,虞莫MOMO,308,76
3461578781362279,26213288,河黎有片小叶子,307,76
20163112,910819,猫神辣椒酱,302,76
3519797,13355,战术级子轩,301,76
1051654586,23053924,HeWu狐,299,76
283886865,9234980,说说Crystal,299,76
108569350,4245963,AG超玩会王者荣耀梦泪,296,76
1521415,81004,艾尔莎_Channel,290,76
472497932,22508985,解说Mage,288,76
13552255,11790589,莉法sama,282,76
90873,5424,内德维德,280,76
1160514215,26133110,牛野露哞_usrm,278,76
109834414,24492364,井上鸢御,277,76
698438232,22673512,扇宝,275,76
2036047839,24048374,Baolan,271,76
20892823,7756231,柠檬派奇幻漂流,267,76
1184238527,26526557,不知原深,266,76
35847683,22230707,峰哥亡命天涯,263,76
38568774,23679394,鬼叔黍,260,76
321370945,15013765,sh7adow,259,76
453141751,23564688,咕咕噜噜oo,253,76
1667514736,22722289,鱼鹅来了,252,76
81345676,23808183,金灿灿T0,250,76
1104048496,22642754,桃几OvO,248,76
30698151,234024,喵熊°,247,76
3461576189282324,26168663,纱依shayi,244,76
647164,816238,御酱Asahi,244,76
957387,554737,夏亚的腿毛,243,76
1681042090,23716652,初冬ovo,242,76
1802011210,22758221,夏川玥玥Official,241,76
85729717,21423462,Kiki向前冲呀,240,76
432611412,25852447,猫咪遥控,234,76
690608698,23260993,瑞娅_Rhea,233,76
141596701,26307043,-_蓝天_-,232,76
630455196,23167843,o浪味小仙o,232,76
32909772,3580061,你是Nana的小可爱吗,232,76
124621923,4464887,逗板菌,231,76
84674730,4795936,一个乌龟酱,224,76
698029620,22696653,兰音Reine,224,76
21353574,11954219,露露自信一点,220,76
47797278,14019438,甜王Linrone,220,76
51030552,1603600,星汐Seki,220,76
623441612,22347054,椎名菜羽Official,220,76
4436681,3610289,__07_,219,76
26261068,295476,_糖果果Candy_,219,76
137952,5085,依然小智,215,76
225347042,9162799,九重紫Official,214,76
4801245,66251,春去丶残秋,214,76
652281965,24492935,Mo_F丶莫风,211,76
31922771,12384934,Leah莉娅又迟到啦,210,76
49922172,2444178,正直少年李发卡,209,76
386549315,26309253,小懂饰品的Skye,208,76
240916,813364,黎沈King,208,76
345564775,22734699,荔枝Kouun,206,76
886992,21504767,炭烧奶蛋,204,76
8881297,55634,钉宫妮妮Ninico,202,76
2131609593,22820500,余多多Dudu,201,76
351686170,12401854,小妹睡不醒,200,76
328376852,22921047,慕龙星,200,76
66556492,22174141,赵俊日,200,76
24047117,1621877,__小黄瓜__,200,76
1683678,320224,人好嘴甜凯尔希,199,76
14781725,3066386,飙黑车的司机,197,76
1399481551,24347206,初一逆羽,195,76
4751210,1163484,可爱的露喵,195,76
36416972,860677,张恩恩NNN,191,76
3461576013121729,26167954,你的璐璐吖ovo,191,76
630077416,22625568,哈娜hanna,190,76
922573,251015,黑泽诺亚NOIR,190,76
1501380958,22746343,艾露露Ailurus,189,76
1294678093,25166222,杜铂雷Dobre,187,76
267766441,8432038,血狼破军,186,76
1096034982,24978909,兔眠可可,186,76
11013713,23880902,萨摩耶哟,186,76
780791,5561470,Mia米娅-,186,76
28278764,23578004,织月黛黛,185,76
379181177,22089255,是咸鱼菌鸭,181,76
1066634989,25587625,小酥软软的,181,76
383487730,25481321,我是佩奇ovo,179,76
395089518,21733448,阿帅派克,178,76
2072717192,23969425,万拓普TOP,175,76
36047134,8324350,小霖QL,175,76
6747203,3428783,绫濑光Official,174,76
690608704,23017349,桃星Tocci,173,76
4548018,48499,丧妹有点跳,172,76
5408366,5194110,库库_sama,172,76
487402608,26336970,托尔赛斯Taurus,170,76
1072466146,24952218,烧什么杯,170,76
1643484295,22900071,岱川Doris,170,76
72960,18060,佐仓•M•沙耶加,170,76
1434027068,24640652,真夜白音shirone,169,76
16510117,623698,机智大灯灯,169,76
431073645,21414905,你的影月月,169,76
2059591,271628,性巴莎拉,168,76
447525119,23931203,音酱呀丶,167,76
610360774,25017682,小眠yo,167,76
389528163,22954659,这是你的氟西汀,167,76
16509116,3256471,续杯牛奶ii,166,76
14112799,2704487,kk不是对儿k宝可梦,166,76
2143972570,26078445,那菈花酱ovo,166,76
27492426,22188468,戒社,165,76
1112031857,22924075,薇Steria,165,76
1958703906,22894962,靡烟miya,164,76
560647,2755958,坂坂白,164,76
1855519979,23945626,dodo_Official,163,76
500508001,21784772,小黑的人间观察记录,163,76
15641218,573893,帅比笙歌超可爱OvO,163,76
33546978,26331605,猫的奴,162,76
651731017,22439496,LGDPYL116,162,76
488990560,25399659,寻找光玉的悠然_,161,76
374377,45104,泪腺战士,161,76
20106338,14957082,千薰依,160,76
471460273,22195814,杜松子_Gin,159,76
1694610556,25971921,伊索尔Sol,158,76
434543178,24683206,DNF手游小韩,157,76
54191665,8643223,木糖纯Official,157,76
353361863,21514463,七濑Unia,156,76
1763388412,23616707,三年胖50斤,155,76
4718291,1155608,花见汐梨Yuuri,155,76
31470014,617484,萝莉一凡,155,76
83677665,9048914,古月酱cc,154,76
1908273021,26297216,露娜Luna_Official,153,76
1011797664,24697117,卡缇娅也不知道鸭,153,76
1763330808,24201387,暴躁浩然_有趣的浩然,153,76
2650919,3525213,凛-阿格里亚斯,153,76
10850238,594461,-阿蕊娅Aria-,152,76
37804608,4283606,龙哥哥今天又鸽了,151,76
11616487,3495920,绝不早到小吱吱,151,76
2137985829,22889482,小柳梢z,150,76
690608712,23550793,友夏Uka,149,76
533996453,23762953,王筱沫沫丶,148,76
454984558,21555489,抖个姬灵,148,76
6415072,43241,虚拟小萨,147,76
688014052,22537565,洋洋洋ouo,147,76
32256602,3266695,旧城旧梦111,146,76
1359949418,23224539,小小约yoo,146,76
11449972,5224276,予绵绵,145,76
477342747,21672022,星弥Hoshimi,145,76
1660392980,23771189,恬豆发芽了,144,76
1155425566,23805066,希侑Kiyuu,144,76
613345189,22344968,蛙吹Keroro,144,76
43536,1029,黑桐谷歌,144,76
1083985101,25632549,是鹿Lu吖,143,76
1114539017,22901614,星月璃り,142,76
40665101,23585383,火龙果说电影,142,76
13908542,22251977,柊真华Official,142,76
16539048,394518,一只小仙若,142,76
1041474702,22953950,病院坂Rei,141,76
498188835,25367871,汐尔Sier,141,76
1875044092,25512476,莞儿睡不醒,141,76
13089665,1223832,橙子miu,141,76
425286,292397,巫贼_ikataruto,141,76
25199503,731109,墨色长安,141,76
3461572502489809,26422901,天音Sora_Official,140,76
61639371,21484828,轴伊Joi_Channel,140,76
60194879,10094495,清歌清歌-,140,76
181560596,8250220,绘竹-,140,76
610390,14893,乌拉の帝国Official,140,76
11139681,14006390,街头艺人小高,139,76
690608709,23550749,尤格Yog,139,76
14272337,21263282,Yommyko,139,76
899804,411318,红晓音Akane,139,76
1673535962,24565591,困困别睡辣,138,76
2006452883,24778741,路希维德Wiede,138,76
43272050,21646457,穆小泠Official,138,76
487550002,21811136,猫芒ベル_Official,138,76
287935100,22258533,不要脸的狗子,137,76
13983848,10191084,-立花花,137,76
477317922,21672023,弥希Miki,137,76
491370290,26305680,桑桑TUT,136,76
230533837,5962524,-默心-,136,76
398655122,21713184,莫熙呐,136,76
39891817,21301005,云淡叔叔,136,76
8935497,23596313,狐狸不啸了,135,76
4697767,438063,Pomelo安妮,135,76
1025491703,23941099,塞拉菲娜_Serafina,135,76
2815204,13484582,白鸦此去,135,76
13199099,21724277,植物椿,134,76
167337063,23083532,千寒睡醒啦,134,76
14198063,82178,猫不吃芒果め,134,76
1739392892,25937738,洛小洛er一定好好打工,133,76
1816182565,22898905,珞璃Official,133,76
609400,1030316,老洋蔥,132,76
489110062,23900926,陌陆z,132,76
356010767,15013068,走路摇ZLY,132,76
55398490,21684723,可乐泡泡超肝的,132,76
14313134,968427,温柔的安酱,132,76
1577801347,25965542,心上瑶,131,76
190331,167537,暨言千百回,131,76
394869494,22080198,云上京,131,76
370515,140011,窥酱Channel,131,76
1930464509,25334591,全能野王乐乐,130,76
503801557,23778409,猫姬琥珀_official,130,76
476725595,21775601,西魔幽Yuu,130,76
3493090595703581,26553919,玩具妹妹-,129,76
10276136,21654925,诺子喵呜,129,76
43156010,26427138,伊菲不是小火驴,128,76
1550962,9202292,貓言葉,128,76
193558681,5391723,激辣味噌,128,76
4514340,2767383,Ever丶长空,128,76
1426714555,25077199,江崎Esaki97,127,76
41018196,15044498,辰星杂谈,127,76
703018634,22605289,莱妮娅_Rynia,127,76
14890801,426667,大炒面制造者Cen,127,76
321650277,24833274,凤小七seven,126,76
434401868,21457197,中单光一,126,76
134637395,23188396,凉宫雨Ame,125,76
1069108539,23472646,小鸟游杏子Official,125,76
22253179,7801275,兔兔牙萝北,125,76
1401928,924973,火西肆,125,76
574317507,22210372,香取绮罗_kira,125,76
332721778,22917724,May-五月呀,124,76
1926780756,23109002,小机灵阿瓜,124,76
11431931,675014,ninnikuu,124,76
2100679,56237,还有醒着的么,124,76
463999,151159,波喵喵喵,124,76
1490293424,25146115,涅涅nene,123,76
1337993096,26097368,白铃_Sirorin,123,76
1030669366,26142467,账号已注销,123,76
1034423936,24394348,樱井奈娅,123,76
1927279531,25021721,浅川玉乃,123,76
243265104,7222865,花辞鸢树serein,123,76
1133258171,24726627,洛瑞娅EIF93,123,76
334299,34587,零太,123,76
300702024,9922197,丸嘻嘻,123,76
1633779879,23368278,帕莎Pasha,122,76
226917581,25836897,无尘Yomi,122,76
26287758,10448205,鱼子酱不能睡懒觉,122,76
11352614,8560181,打野茶茶,122,76
10583117,862316,againwhy,122,76
3985676,947866,扶桑大红花丶,122,76
1363865784,26543891,雨鱼渔爱吃鱼,121,76
391882412,25876272,摆烂小天鸽,121,76
545530293,22563900,饭团喵にゃん,121,76
18768997,3208512,西安WE丶Best,121,76
7659703,2455978,白咕噜碳,121,76
11312659,38781,仓鼠绅士,121,76
303573687,22499290,青寒plus,120,76
1460795825,25559718,白开水儿QAq,120,76
621672822,24982654,黑瑞是个笨嘴,120,76
286641964,8897124,花辞不了,120,76
1201374258,26033627,swayJoJo,120,76
1391534322,26139665,蒂蒂嘟嘟,120,76
324897535,25497805,柯罗诺斯Chronus,120,76
626808306,22361521,凌小雪yo,120,76
592507317,22259479,烤鱼子Official,120,76
372984197,14052636,夢乃栞Yumeno_Shiori,120,76
620903,870004,泰蕾莎Channel,120,76
1890662098,25350006,柚夏yuka,119,76
12527747,23590738,露露露易丝儿,119,76
13408183,906245,盛情难却姬喵喵,119,76
6853766,3032130,舒三妈Susam,119,76
2990100,4195167,真的想不出名儿了,119,76
1680646141,23116434,连理今天也好可爱嗷,119,76
251159663,23199319,软水水,119,76
13002659,4586625,咩瓜_sxbjzd,119,76
73415842,21593109,香老师123,119,76
300646326,9906982,一只菜喵喵,119,76
632171719,25908077,紫贝儿official,118,76
3493075619940421,26422539,_阿_狸__,118,76
3493076521716195,26327017,纯爱辣妹,118,76
316568752,22394171,马督工,118,76
482113969,23489728,电竞少女刀妹,118,76
472651210,22551571,bili骁骑,118,76
1661638690,25932291,兔晶千穗_Qiho,117,76
1814162787,25787932,绯樱由乃,117,76
17479767,1990654,昊月-KFP,116,76
9838546,4083870,泪眼执笔墨成花,116,76
1138381712,26443116,在下清雨,116,76
647003651,25862745,随风风风A,116,76
1297361395,24516377,晨曦8月28生日会,116,76
24957521,4726132,吃肉包的怂鼠,116,76
4176573,870691,Akie秋绘,116,76
220316581,7553185,淡希Reset,116,76
513613827,24402390,浙艺没有菲戈,115,76
574879146,25390908,二条____,115,76
1355412269,23075997,随一Suiii,115,76
17013445,11328538,全是曲奇,115,76
1202416628,24255210,眠特Mint,115,76
235794311,6571500,K1ngAzara,115,76
1900972837,23735787,卷卷卷卷卷福,115,76
8803882,23400503,莲雾雾雾,115,76
37506143,3145866,爱睡觉的惠惠,115,76
316708692,22447440,雨汐OvO,115,76
29736742,2001981,留白Camille,115,76
1977849683,24218491,丨唐七,114,76
180031935,11258437,普通话很包准的龟,114,76
630757806,23416764,大胡子魚,114,76
12528170,4898018,大白突突突突,114,76
190224,3325830,妙邻老王,114,76
504372942,23418181,饭团碎碎子,114,76
2049968320,23343237,夏卜卜,114,76
531251,8765806,弱智光环,114,76
21498435,7111885,芷芷想睡觉鸭,114,76
56403512,22621571,孙羽幽,114,76
5659864,2064239,鹿野灸,114,76
6905116,764155,阿纪米德,114,76
11811464,5287928,立盐盐,113,76
241329181,22040711,石凯kk,113,76
3493086233627089,26485519,-圆酱,113,76
3493079763913568,26387489,特菜饭团,113,76
328794670,23904691,Dota2解说王子龙,113,76
593793031,23854724,泉鹅Izumi,113,76
1484169431,23805029,雾深Girimi,113,76
1111667717,23515096,子易教主,113,76
731556,92450,綾音Aya,113,76
760255,202631,小梓酱丶,113,76
393885664,22882574,诺可Noko,113,76
46708782,4404024,鲁大能,113,76
690608691,22605464,千幽Chiyuu,113,76
39267739,4316215,铃音_Official,113,76
8192168,280446,叶落莫言,113,76
351335373,23945753,鸥诶Oak,112,76
1194936509,25657155,艾琳酱r全能射手,112,76
104007593,21682668,剑神----李淳罡,112,76
11919885,729595,爱吃炸鸡犇犇牛,112,76
480432362,21685677,鈴宮鈴,112,76
472338594,21719079,Absinth苦艾,112,76
70070,308543,v猫诺v,112,76
3493083033373435,26439610,粉嫩糖糖-,111,76
3493084052588872,26454340,呆呆大魔王ya,111,76
1039864308,26266975,呆呆杰宝,111,76
3451754,891530,觅渡Dzg,111,76
1583472,24125,鲸落落raku,111,76
93411028,4137788,北酱c,111,76
1352662788,24934088,湖里狸,110,76
2064099563,24762598,茂Sigeru,110,76
6341516,4182237,早坂鱼子,110,76
1757836012,23905403,量子少年-楚枫,110,76
8446999,22168541,王未来什么都行,110,76
7071924,440006,高寒时薪十块,110,76
423902976,21603945,Minicatty,110,76
400620088,25496317,快乐_浅川,109,76
4227942,6366763,安婧丿,109,76
532791,23092710,薇拉Vera-Official,109,76
52522,850221,露蒂丝,109,76
287190004,22547649,-ojoj-,109,76
349797556,22838077,_索尔_,109,76
92951581,21615421,千玉虞,109,76
488082206,22499175,冉尘瑶,108,76
1547161181,25246735,佑梵YouFan,108,76
1361858997,24769338,Bane_Kukulcan,108,76
46825573,12575690,胖虎老刘,108,76
549478491,22185883,小恒biu,108,76
674839637,22537284,黎耶,108,76
666726799,22470216,悠亚Yua,108,76
699438,49728,枯水,108,76
284890614,8952437,BEGG1N991,107,76
2664533,353398,古力TV,107,76
491671795,26168656,张超_Baritone,107,76
5892960,68382,阿冷Official,107,76
1927037753,23261911,纱鱼sayu,107,76
32839394,22117557,圆咕鹿,107,76
292838396,12845193,鸢尾牙牙,107,76
4255540,7533559,仅仅穿堂风啊,107,76
3493091556198827,26568219,阿拉阿拉撕家biu,106,76
446682987,25965086,溪希月,106,76
478378008,26231773,白初-老白,106,76
1370178873,25589024,云云用手打深渊,106,76
5986897,6204892,绫月汐Shio,106,76
1533260,12207733,小毛爱吃肉吖,106,76
697737710,23369901,蝶蝶Hikari,106,76
28860267,3715397,我是谁压实度,106,76
7823646,4084267,是空心呀丶,106,76
3940502,13817460,黑泽久留美,106,76
733871,3113410,友利奈绪大魔王丶,106,76
279704683,8915924,友利Mori,105,76
3493076865649405,26332675,伍爷来咯,105,76
32709759,26247988,纯欲小m酱,105,76
456102,1319593,FGO丶Master,105,76
26328593,22071218,耿清清呀,105,76
1485569,1184275,艾鸽泰尔德,105,76
14942520,22038066,楚楚流萤睡醒了吗,105,76
2156921,998197,狱凰阿巴阿巴,105,76
1037498530,25360677,奈何iuo,105,76
514600263,24483629,桃雾mio,105,76
431435,24211349,真的馒头小猪,105,76
1584039005,24954295,星见汐娅,105,76
22454199,22769463,卷卷子啦,105,76
1376650682,22857429,葡冷尔子gagako,105,76
7985093,5108699,夏の花を生けば,105,76
176135235,22880700,星野怜Official,105,76
12450452,22262300,人间蜜药,105,76
175011538,5734778,暖阳vov,105,76
473048378,21701541,L君的日常1,105,76
22247792,8269332,LuoK1ng,104,76
1495003,11532688,砂糖星织,104,76
375105111,23770891,南川_upup,104,76
284644353,8707782,Az睡不醒,104,76
3461566982785482,25984441,芒芒_Mou,104,76
