uname,mid,roomid,follower,guardNum,cal
-狩猎西比尔-,1041786022,23310101,30655,24,-111.04306278352362
-晚风铃-,356113776,23946255,5012,6,-243.85797396458815
-澈子-,5914640,3313448,5656,2,-240.1940620396557
烛灵儿Hikari,399815233,21728563,349240,473,492.2068284248287
-荔枝酒,39964093,21330414,16453,68,-106.49611880148643
-莉莉-Lily-,1472362579,23735351,16909,18,-154.7628773556636
-阿予ayu,347784817,13827947,7709,41,-181.5608858404828
-魔王大人花言理-,1934440235,24537299,369,1,-414.2554927678306
73円,3493089056394214,26570591,24694,52,-96.75239234670448
千代茨Chiyo,34237849,22802744,15205,9,-170.4973333529332
98_SSword,137980431,6568696,873,4,-356.65928575976926
A-SOUL_Official,703007996,22632157,333958,4,20.370050685796286
馍馍Pann,1210419111,26021274,976,5,-348.58847202141
AIChannel中国绊爱,484322035,21712406,1014054,477,563.788189804111
Afaer-伊梦Eligo,2086914019,25277492,8938,29,-184.18254399011857
Afaer-吕和今Asota,3461569182698067,25921269,9080,22,-190.18321150085546
Afaer-展麟Finn,1259447274,25933773,13286,41,-147.0508474705232
Afaer-林亚Raenia,504822817,25933809,7514,31,-193.18522746310987
AirSAMAdesu,6000336,550335,33039,46,-84.29485288318438
Akie秋绘,4176573,870691,405732,120,148.71261094118756
Akira_Channel,4400255,1458714,1215,1,-338.7015408438873
Alec艾里,32906095,1519992,73126,30,-49.92385093791552
阿雨Ameko,317479031,23556402,575,1,-386.13293941344796
Amy精一杯,2903285,1006388,6880,13,-216.7738927792036
Andy睡过头啦,1941171138,25243084,5927,2,-237.22686252265112
Angelia安洁莉娅,646366863,22427257,355,5,-412.70773214725864
Angelica安杰莉卡,3461566875830931,25810704,333,2,-419.76376613523985
Ara手一滑_Channel,1283658,12602526,3375,13,-261.92885175035974
Asaki大人,194484313,6154037,1002494,568,654.0612921270183
Bafuko_Official,1513469779,22782217,24846,1,-147.3633398541524
BaoVTuber,1458008883,25375403,270556,1,4.022059683867724
Bison仓鼠,136107,77386,415507,18,48.221950535515134
Cher雪小小,673953420,25474431,6677,33,-198.67271435141117
Chofie斐雅,660912261,22452242,2291,12,-287.4904505324484
C叔小酒馆,516678537,23300805,15687,64,-113.51874471091435
C酱です,67141,47867,1365724,908,1013.6641787813812
Demeo阿死,793061,5165,9752,2,-205.6565656483857
DiscoverPS企划,1236638112,25443887,25079,10,-137.77155989413336
ELA辰,20946335,586008,13139,6,-182.75623223030846
EPP不是恶婆婆,10292573,22125029,1269,1,-335.9445847469078
Eki_ch,155971,600654,3791,3,-264.5595836762644
Elaine_夜空Project,434319922,21500157,9420,3,-206.85257069603608
ElskaAsh,17977334,394623,1354,1,-331.83411004986124
Era猩纪元,652495460,25660853,11874,51,-144.17445329973873
EricaZehnt_埃莉卡,1480838,759938,46430,48,-60.72255146371447
Esaru,170484,4340859,10697,59,-142.79264029679132
一口陈年无糖,16485175,23084412,3875,4,-262.17012029067587
Fulgur-Official,1281805827,25734481,228857,180,172.41005695345223
Guri绿球三,3008887,4063246,12163,4,-189.64984682179113
Hachime朷初,70606554,10949670,2111,2,-302.6782591664165
花见汐梨Yuuri,4718291,1155608,31740,155,22.162111824697377
hanser,11073,48743,3425436,317,480.96327294167895
HeWu狐,1051654586,23053924,23092,302,148.99511212586424
Hibi_,369349661,23437429,5699,1,-240.71388361046104
HiiroVTuber,508963009,21919321,1116996,319,411.918131711343
H蓝色大老虎H,3221223,6953239,4039,1,-262.54209685327965
ICBM糖果小多,2933593,108270,419,3,-404.1989836769365
IRA艾芮,1895255207,23111212,12790,7,-183.4630420840789
Ike_Official,1921596130,24731531,934213,7,88.58894768103505
伊佐子Isako,1511924791,22782781,1060,7,-341.3540665374725
Jinlly多宇Official,2008705943,24193805,29275,8,-129.96338545126082
昊月-KFP,17479767,1990654,19652,116,-47.231759465506684
KI哞,1757495735,24544831,14213,6,-177.77475905534664
刻燕Kyan_Official,1316965,14288,6806,3,-227.45950518914208
地雷ペダル,2115078,2373631,10493,5,-198.01340477018846
Kanna_康娜Official,345819190,14222920,135204,11,-29.958162227832645
Karo_卡洛,146181099,6619765,2315,16,-282.8297411226108
Kekon_Official,9561918,433494,10900,19,-181.60075447502732
Kiko_Official,2059201075,25159955,9694,83,-125.03476279990275
Kirikosama,1442771,15122413,76980,60,-16.66752123848744
Kiroko96,600985,471368,187137,1,-19.349597881725344
LUNA_月老板,110725714,23981982,6981,3,-225.84993154507652
琳子夢,632368824,22881951,12422,6,-186.31397474423966
Laine_official,668479385,22513500,94077,52,-11.951513333310004
Leia_夜空Project,49464709,21323721,10945,9,-191.33955016872858
Lily很温柔,400128632,25300582,1362,8,-324.4606185426204
LonEliteNV,57260085,4226198,655,1,-377.8741260607251
Luca_EN_Official,1673137696,24731561,890446,15,93.54688870226323
LuckyCupcake,1195405071,23980353,92927,31,-33.73129257989774
MKiiiiii,210628,5229,79399,92,17.29408274102002
MOJIもら,6189012,8514027,664,10,-368.0089117231941
Maquia_official,1826989306,22782928,3266,3,-274.010231258172
Maria_M_Official,1217057066,25977227,206607,30,15.925573657234622
Masumi真澄,524460145,26515937,544,8,-382.64661774933325
梅露蒂雅Melodia,87386257,3561457,902,2,-356.58743942802965
Mia米娅-,780791,5561470,29289,186,48.06692668646565
Mico酱在摸鱼,3461563486832799,25514861,10501,34,-168.96508620064003
Minicatty,423902976,21603945,96389,110,47.58774301733479
Minto薄荷糖,3727121,97722,27024,1,-142.03592748438336
Mira恶魔米拉official,2239559,10877511,10252,39,-165.48653925351675
Mlle_Rebecca,25415856,24609919,29432,11,-126.62428368385577
MomoHippo,2182817,21762782,6088,3,-234.52765136906748
桃井最中Monaka,692437895,22637920,47798,81,-25.881542543559704
Mysta_Official,1544125954,24731569,973008,19,103.16855677032629
NGWORKS,153373112,4709278,321,2,-422.090632793557
Nora在笑了,108507415,22734151,25567,4,-142.54973951148588
NatsumeSaki,3430222,156789,11723,3,-192.9858726052462
星律动Nebula-Beat,1795366254,23225527,32357,1,-130.61726916683324
奈克斯Nex,209306657,9538065,2712,1,-287.79499944957786
Niar-2A,1230463982,23013945,44832,41,-69.94304972473105
南町Nightin,1329085897,24872476,30257,26,-109.87158783953794
NoWorld_Official,434662713,21448649,119941,50,1.4474818476351174
思绪_official,415481887,23361043,77533,14,-62.2137037642525
キミ以外いちゃ嫌だ,7684135,645292,15521,11,-167.19321915711498
Okome_VTuber官方频道,345648420,14410598,34927,1,-125.77162059333648
欧乌米Oumi,579861015,22341481,87707,26,-42.39660666060831
Overidea_China,18149131,704808,835181,33,107.48459754772875
PlanyaChannel,562037265,22830078,62876,3,-86.4984839288287
PochiKorone,300312007,10466150,45878,10,-99.48082197488782
Pomelo安妮,4697767,438063,17897,134,-35.16257670689629
Power_Yuki,523494605,22892743,113,1,-489.2836122936376
Pumpkin_H南瓜,7512597,10361318,1188,10,-331.12631990490775
Real_Even_,824087,21976867,30902,12,-122.53426982596295
RInaTA_6,106153312,22997215,1288,9,-327.00236951748343
Rinko琳可,546192461,25235084,20208,75,-86.46293425297677
Rosalin-8-,5430004,25178705,10655,2,-200.04205987662579
Royayaho,516543529,22382380,5421,1,-243.88454427489455
Ruriko琉璃子Channel,47441,54897,339926,73,90.49303651857053
Ryuryuu_,737107,31992,335,1,-420.3841242822908
S1娘Official,97340936,4012961,71656,21,-60.21132041217106
SakuRa樱子喵,367896833,23300295,1276,16,-320.5958215884398
Saku悠娜-official,1780983970,23013064,26041,54,-91.38509662407978
Sandy睡醒了,1678686361,24837306,68334,76,-8.220883203147537
Sawako碎花子,477007,3649650,156999,41,9.517264923608082
塞弥娅Semia,351782431,22970426,5665,12,-230.0932582025025
辛宁_Cyning,12065970,13238959,1570,1,-322.4501210450948
Seven_小七Official,3265126,9904563,1846,5,-308.1827752850187
希米Shimimo,130016056,4513990,1816,1,-313.2215751491775
ShizukouOfficial,1042854135,23594422,291444,22,29.73704012464998
Shu_Official,1420890712,24731543,863441,5,81.5943657414299
星野ニア_Silver,342872383,11847122,788,1,-366.15382110301044
Sky_despair米宇君,14397053,78872,5440,1,-243.66272285351067
Sorako空子,7238137,4128217,933,2,-354.4451102662784
StarDust星云社,1966003456,24489252,2701,1,-288.05267576954816
TTT酱_,29371864,140880,9734,22,-185.77369592905848
Tacitly_麟犀,181559741,5342167,18436,3,-164.28136088651866
时澪Tilinme,7380366,37646,10988,2,-198.09095640655858
白夜Tira,3234445,22114797,8563,21,-194.8999475233394
Twinkle_凰裳,4727663,1689550,27069,28,-114.93044246199054
皮皮大兽兽,174919184,7117085,16433,2,-172.57323369270625
Uko017_Official,1957582635,24994272,5011,3,-246.8706248675535
唔姆umu桑,3415362,131162,7665,9,-213.923785231205
UzuMe舞紫梦_NHOTBOT,1523315824,24812685,9123,7,-204.88367789969698
Valentina蒂娜,1802937912,24846830,30499,57,-78.36652229404729
Vespero,391753,748674,35844,20,-105.12854492853944
綿世たぬOfficial,652203744,22446232,62352,1,-89.02906485152369
Vox_EN_Official,1775966996,24731541,1339846,371,475.45133621280047
WednesdayChannel,1353152128,23074404,7149,4,-223.3422596503816
小林晓_Akira,77273672,4549518,1374,1,-330.9044746256025
YUKI_多练,503441693,22795535,8065,17,-202.69867799853978
YUKIri,512480,29183,539409,56,102.76774235942605
Yasuri_,1822027685,23067628,1601,7,-315.2104725960083
Yenn咕噜咕噜,1192693417,25657054,3170,14,-264.90173264035786
昨日きのう,160024260,4759331,1230,1,-337.92361697356625
Yommyko,14272337,21263282,177388,140,116.25840415921402
Yuka碳,1753451,179883,10358,11,-192.8343840612248
Yuki居居_nya,2141017,48683,3895,13,-252.84373604347263
猫猫头Yumio中大奖,1749672325,23377570,7248,9,-217.47031425437353
-Yu酱-,3032688,6760154,110514,25,-28.742299213430215
ZMI紫米,14829832,10552040,508330,89,132.00538013207313
Zimo菌Official,1592759,50353,3356,1,-274.286778714978
Zoe_舟一,688275304,22621413,115626,3,-47.87543777479323
